http://www.google.cn/music/album?id=Bf4386923fc14d014|《Delicate Sound Of Thunder CD2》
http://www.google.cn/music/album?id=Ba265e042b8a681ce|《Meddle》
http://www.google.cn/music/album?id=B0b1e5f85f3552841|《Is There Anybody Out There - The Wall Live 1980 - 1981》
http://www.google.cn/music/album?id=Bae875ea9420d7bdc|《Delicate Sound Of Thunder》
http://www.google.cn/music/album?id=Bd053f27e68053d79|《The Piper At The Gates of Dawn》
http://www.google.cn/music/album?id=B0d4827a43a77476d|《Dark Side Of The Moon》
http://www.google.cn/music/album?id=Bfe66af7e6f2f6469|《Ummagumma CD2》
http://www.google.cn/music/album?id=B20eecfbab6c51b6f|《A Momentary Lapse Of Reason》
http://www.google.cn/music/album?id=B4fe0c3e9bbe10cf6|《Obscured By Clouds》
http://www.google.cn/music/album?id=Be4315128ade8a71e|《The Division Bell》
http://www.google.cn/music/album?id=B15bf23175993e240|《Is There Anybody Out There? The Wall Live 1980-81 CD1》
http://www.google.cn/music/album?id=B93830609b43dcc06|《Wish You Were Here》|176
http://www.google.cn/music/album?id=B8fee81a7cc4bb20f|《Atom Heart Mother》|181
http://www.google.cn/music/album?id=B0fb108f37e2e38d5|《The Final Cut》|194
http://www.google.cn/music/album?id=Bd36e50074bd53327|《动物(Animals)》|199
http://www.google.cn/music/album?id=B985944b681619fc9|《Works》|209
http://www.google.cn/music/album?id=B3a32d182f9d7635a|《A Saucerful Of Secrets》|216
http://www.google.cn/music/album?id=B0efbee9e354d0deb|《Pulse》
http://www.google.cn/music/album?id=B8804c271b6ba9639|《Relics》|250
http://www.google.cn/music/album?id=Bdd9933e32a63be77|《More》|262
http://www.google.cn/music/album?id=B9ce890ed51f14988|《Ummagumma CD1》
http://www.google.cn/music/album?id=B620713f1c36f6a08|《Echoes The Best Of Pink Floyd》|292
http://www.google.cn/music/album?id=Bc0cfbc3e28b08768|《Wired For Sound》|305
http://www.google.cn/music/album?id=Bc0b6100d00414051|《A Momentary Lapse Of Reason》|315
http://www.google.cn/music/album?id=B6fe75b4ec78cc111|《Greatest Hit (...And 21 Other Pretty Cool Songs)》|337
http://www.google.cn/music/album?id=B7fb2dd49236a88eb|《Instru Mental》|345
http://www.google.cn/music/album?id=B31871a581d96bc94|《Images And Words》|353
http://www.google.cn/music/album?id=B43a5c8f26dfa5671|《Live Scenes From New York CD1》|363
http://www.google.cn/music/album?id=B4c47f737279ef43c|《Live Scenes From New York CD2》|373
http://www.google.cn/music/album?id=B3f3e5e2fa18416f5|《Live Scenes From New York CD3》|378
http://www.google.cn/music/album?id=Bab8b02ad69768788|《Live At Budokan CD1》|384
http://www.google.cn/music/album?id=B07473c2c5ce1731d|《Live At Budokan CD2》|390
http://www.google.cn/music/album?id=B116449db46bf7bb5|《Live At Budokan CD 3》|396
http://www.google.cn/music/album?id=B8e720acd9c2006a7|《Score - 20th Anniversary World Tour Live With The Octavarium Orchestra》|410
http://www.google.cn/music/album?id=B52fed0e478b7ae1d | <>|418
http://www.google.cn/music/album?id=Bf6000809e1a4d368|《Scenes From A Memory》|430
http://www.google.cn/music/album?id=B1ab37ba98eea6274|《Taste The Memories Fan Club CD》|440
http://www.google.cn/music/album?id=B3aca69620ce418dc|《Train Of Thought》|447
http://www.google.cn/music/album?id=B25b4812316eab429|《When Dream And Day Unite》|455
http://www.google.cn/music/album?id=B02bb657ceface04c|《Hullabaloo》|476
http://www.google.cn/music/album?id=Bae1bd29282830644|《Black Holes & Revelations》|488
http://www.google.cn/music/album?id=B9980aa54a04cde3b|《Haarp》|502
http://www.google.cn/music/album?id=B77fcb043910bdcb5|《Absolution》|517
http://www.google.cn/music/album?id=B4fe2eafe7961efd9|《Stevie Ray Vaughan & Double Trouble - Live From Austin Texas》|526
http://www.google.cn/music/album?id=B4176975fe6acc1ac|《Greatest Hits》|537
http://www.google.cn/music/album?id=B48643ccf8e494347|《Soul To Soul》|538
http://www.google.cn/music/album?id=B8868a4ee40e90f3c|《In Step》|553
http://www.google.cn/music/album?id=B93493c58f95c79d0|《Canciones Variadas Y Rarezas》|594
http://www.google.cn/music/album?id=B29922cceb525d425|《Live At The El Mocambo》|606
http://www.google.cn/music/album?id=B990cec336f222de8 |《Blur: The Best Of》|624
http://www.google.cn/music/album?id=B297decebbb09f668 |《Blur》|640
http://www.google.cn/music/album?id=B73179a3bc19e641d |《Bustin' + Dronin' CD1》|649
http://www.google.cn/music/album?id=B2ae055b83165661e |《Bustin' + Dronin' CD2》|655
http://www.google.cn/music/album?id=Bf27dfe1b9de55872 |《Coffee And TV》|660
http://www.google.cn/music/album?id=Bc6035b274043262d |《Leisure》|672
http://www.google.cn/music/album?id=B76de59a963665e1d |《Midlife - A Beginner's Guide To Blur CD1》|685
http://www.google.cn/music/album?id=B360b6e0379731831 |《Midlife - A Beginner's Guide To Blur CD2》|697
http://www.google.cn/music/album?id=B66de666c05b89243 |《Modern Life Is Rubbish》|711
http://www.google.cn/music/album?id=B04a5c8a87176525f |《No Distance Left To Run》|713
http://www.google.cn/music/album?id=B9ef9293eebb199ec |《On Your Own》|720
http://www.google.cn/music/album?id=B2d9a381ff965ba84 |《Parklife》|736
http://www.google.cn/music/album?id=B22e3462ea6c818c2 |《The Great Escape》|751
http://www.google.cn/music/album?id=B6e4043ce0dd241c2 |《Think Tank》|765
http://www.google.cn/music/album?id=B99118189ae9f24e1|《90125》|774
http://www.google.cn/music/album?id=B4a384ed65c2d7f7e|《Classic Yes》|783
http://www.google.cn/music/album?id=B8dfd87ee66926012|《Drama》|789
http://www.google.cn/music/album?id=Bec96cfd01525b21f|《Fragile》|798
http://www.google.cn/music/album?id=B3c04576c62de953a|《Going For The One》|810
http://www.google.cn/music/album?id=Bf439f32029acb446|《Relayer》|816
http://www.google.cn/music/album?id=B03001f6077c62696|《Time And A Word》|828
http://www.google.cn/music/album?id=B774d656441e6ad53|《The Word Is Live》|852
http://www.google.cn/music/album?id=B5bc412924c72adee|《Tales From Topographic Oceans》|858
http://www.google.cn/music/album?id=B0d5278a6a8eaf876|《Tormato (Expanded)》|875
http://www.google.cn/music/album?id=B9abd360c3718bd25|《Union》|880
http://www.google.cn/music/album?id=B15b1b94e81572ed1|《Yessongs》|893
http://www.google.cn/music/album?id=Be5ae81961954cff0|《Yesterdays》|901
http://www.google.cn/music/album?id=B0968b5138146f393|《Yesstory》|921
http://www.google.cn/music/album?id=B8630e5363ec5675f|《Yesshows》|928
http://www.google.cn/music/album?id=B22c3c6e1964d3236|《Acoustic Metal》|939
http://www.google.cn/music/album?id=B670863fdc5554ed6|《...And Justice For All》|948
http://www.google.cn/music/album?id=B5992ed231a53e0f3|《Best Ballads And Nothing Else Matters》|958
http://www.google.cn/music/album?id=B137f35ca5e186dac|《Death Magnetic》|968
http://www.google.cn/music/album?id=B49e241fd98cbea52|《Garage, Inc. CD2(Garage, Inc.CD2)》|984
http://www.google.cn/music/album?id=B4f8694e0d4f10ffd|《Metallica》|996
http://www.google.cn/music/album?id=Bbe2d0507ef1ee380|《New Skulls For The Old Ceremony...New Nails For Thor's Hammer》|1013
http://www.google.cn/music/album?id=Bef606aa0b985276c|《Load》|1027
http://www.google.cn/music/album?id=B97c33bf82a656da4|《Live Shit - Binge & Purge CD1》|1036
http://www.google.cn/music/album?id=B526f946d3b4c919e|《Live Shit: Binge & Purge CD2》|1042
http://www.google.cn/music/album?id=B58c8e670f66b0663|《Live Shit - Binge & Purge CD3(Live Shit - Binge & Purge CD3)》|1051
http://www.google.cn/music/album?id=B2790cb977c243bc3|《Reload》|1064
http://www.google.cn/music/album?id=B08d471581f5b767c|《Ride The Lightning》|1072
http://www.google.cn/music/album?id=Be28df44e544b72b9|《Kill 'Em All》|1082
http://www.google.cn/music/album?id=Bddd2ed1c15e668d6|《S & M CD1》|1093
http://www.google.cn/music/album?id=Ba7cac4cf3c1fd8dc|《Master Of Puppets》|1101
Queen
http://www.google.cn/music/album?id=Beb00271f90a87e89|《Sheer Heart Attack》|1114
超载乐队 albums 1
http://www.google.cn/music/album?id=Bf3d447939144fb46 |《魔幻蓝天》|1124
乔 塞奇尼(Joe Satriani) albums 5
http://www.google.cn/music/album?id=B5d033108f5450832 |《水晶行星(Crystal Planet)》|1138
http://www.google.cn/music/album?id=B64ae802c1665b145 |《真爱无限(Is There Love In Space)》|1149
http://www.google.cn/music/album?id=Bd00746fe9df74928 |《造物引擎(Engines Of Creation)》|1159
http://www.google.cn/music/album?id=B09c3f9ea87998772 |《Strange Beautiful Music》|1172
诺拉 琼斯(Norah Jones) albums 25
http://www.google.cn/music/album?id=Bc85a19a0e258ad2e |《家的感觉(Feels Like Home)》|1185
http://www.google.cn/music/album?id=B7228171983cbc5bc |《纽约之歌(New York City)》|1192
http://www.google.cn/music/album?id=Ba9ba17f8f29616a4 |《远走高飞(Come Away With Me)》|1206
http://www.google.cn/music/album?id=B37e2c9d5972e5c9a |《The Fall》|1219
Bela Fleck And The Flecktones albums 10
http://www.google.cn/music/album?id=B59324588b2abeaac |《Greatest Hits Of The 20th Century》|1230
http://www.google.cn/music/album?id=B95cb8d01355b632d |《Left Of Cool》|1245
http://www.google.cn/music/album?id=Bf36696d3e061bd78 |《Little Worlds CD1》|1249
http://www.google.cn/music/album?id=Bb522bb7bdacf4ef3 |《Little Worlds CD2》|1252
http://www.google.cn/music/album?id=B7015cfdfafb2cd9f |《Little Worlds CD3》|1257
http://www.google.cn/music/album?id=B9893dbfdd55a7ee8 |《Live Art CD1》|1268
http://www.google.cn/music/album?id=B3dad665e31c93d05 |《Live Art CD2》|1278
http://www.google.cn/music/album?id=B5ace0ecdf830bbbb |《Live At The Quick 2002》|1290
http://www.google.cn/music/album?id=B17d2acd3bfeaeba2 |《Outbound》|1307
http://www.google.cn/music/album?id=B4b7fb2199a9daede |《The Hidden Land》|1318
贝拉 弗莱克(Bela Fleck) albums 2
http://www.google.cn/music/album?id=B043c748e57cce596 |《Perpetual Motion》|1330
